time,Beech_theta_meas,Spruce_theta_meas,Beech_theta,Spruce_theta,Beech,Spruce,Spruce_root,Beech_root,Rain_Beech,Rain_Spruce,Rain_Free,Beech_change,Spruce_change
2024-09-13 00:00:00,0.1414676203791204,0.13594249036001,0.05658607988210477,0.11129922088147155,7.997156724015744,6.1819193470951985,8.008773244000007e-07,6.223133943156625e-07,0.0,0.0,0.0,0.0,0.0
2024-09-13 00:10:00,0.1414935394431271,0.1358969684240611,0.0565736442052183,0.11117638191281176,7.996551920216667,6.181003136589099,8.008773244000007e-07,6.218583827771182e-07,0.0,0.0,0.0,-0.0006048037990771249,-0.0009162105060998016
2024-09-13 00:20:00,0.1415194585071337,0.1358514464881122,0.05656138158584364,0.11105472473613509,7.995946408723209,6.180087459715826,8.008773244000007e-07,6.214045236974868e-07,0.0,0.0,0.0,-0.0012103152925346805,-0.0018318873793727874
2024-09-13 00:30:00,0.1415453775711404,0.1358059245521633,0.05654932304864398,0.11093425711551186,7.995340480189746,6.1791722903195225,8.008773244000007e-07,6.20951640224745e-07,0.0,0.0,0.0,-0.0018162438259974323,-0.0027470567756759934
2024-09-13 00:40:00,0.1415194585071337,0.1358286855201377,0.05653747081307359,0.11081405803676152,7.994734259177129,6.178255696291978,8.008773244000007e-07,6.204996760156545e-07,0.0,0.0,0.0,-0.0024224648386148573,-0.0036636508032206194
2024-09-13 00:50:00,0.1414935394431271,0.1358514464881122,0.05652582449239689,0.11069215019694989,7.994127833253055,6.17733587222577,8.008773244000007e-07,6.200485982078463e-07,0.0,0.0,0.0,-0.003028890762688974,-0.00458347486942845
2024-09-13 01:00:00,0.1414676203791204,0.1358742074560866,0.05651438288996287,0.11056915858784092,7.993521274326383,6.176413539664534,8.008773244000007e-07,6.195983828201913e-07,0.0,0.0,0.0,-0.0036354496893604704,-0.005505807430664866
2024-09-13 01:10:00,0.1414417013151137,0.1358742074560866,0.05650301845463166,0.11044608581779296,7.992913897490926,6.175489901241884,8.008773244000007e-07,6.191469243226657e-07,0.0,0.0,0.0,-0.004242826524818,-0.006429445853314952
2024-09-13 01:20:00,0.141415782251107,0.1358742074560866,0.0564918067019875,0.11032400654229328,7.992305565244551,6.174565915161619,8.008773244000007e-07,6.186963855425296e-07,0.0,0.0,0.0,-0.00485115877119302,-0.007353431933579735
2024-09-13 01:30:00,0.1413898631871004,0.1358742074560866,0.05648076969442058,0.11020298302928648,7.991696524601474,6.17364161626698,8.008773244000007e-07,6.182465922784826e-07,0.0,0.0,0.0,-0.00546019941426934,-0.008277730828218921
2024-09-13 01:40:00,0.1414157822511071,0.1358514464881122,0.056470075857865384,0.11008330291900115,7.9910878877975975,6.172717772635745,8.008773244000007e-07,6.178002431793693e-07,0.0,0.0,0.0,-0.006068836218146245,-0.009201574459453354
2024-09-13 01:50:00,0.1414417013151139,0.1358286855201377,0.05645962108284214,0.10996561616943616,7.990479978541034,6.171794979685993,8.008773244000007e-07,6.173544346126576e-07,0.0,0.0,0.0,-0.0066767454747100885,-0.010124367409205526
2024-09-13 02:00:00,0.1414676203791207,0.1358059245521633,0.05644937274416785,0.10984935808696757,7.9898726166419465,6.170872460577743,8.008773244000007e-07,6.169093438596032e-07,0.0,0.0,0.0,-0.007284107373797255,-0.011046886517455334
2024-09-13 02:10:00,0.1414676203791207,0.1358286855201377,0.05643944964685155,0.10973408226413947,7.989266539150354,6.1699501357545685,8.008773244000007e-07,6.164671538794141e-07,0.0,0.0,0.0,-0.007890184865389394,-0.011969211340630004
2024-09-13 02:20:00,0.1414676203791207,0.1358514464881122,0.056429749554440224,0.10962019455153645,7.988661832359897,6.169028313811247,8.008773244000007e-07,6.160254626497322e-07,0.0,0.0,0.0,-0.008494891655846715,-0.012891033283951359
2024-09-13 02:30:00,0.1414676203791207,0.1358742074560866,0.05642024258574515,0.10950734939117639,7.98805826302385,6.168106607248765,8.008773244000007e-07,6.155845146948333e-07,0.0,0.0,0.0,-0.009098460991893376,-0.013812739846433608
2024-09-13 02:40:00,0.1414417013151141,0.1357831635841888,0.05641099969315635,0.10939553941402744,7.987456243278957,6.167185326500873,8.008773244000007e-07,6.151457568944086e-07,0.0,0.0,0.0,-0.009700480736786865,-0.014734020594325159
2024-09-13 02:50:00,0.1414157822511074,0.1356921197122911,0.05640194803285951,0.10928511074094258,7.98685577437117,6.166264737692849,8.008773244000007e-07,6.14707609309932e-07,0.0,0.0,0.0,-0.01030094964457362,-0.01565460940234953
2024-09-13 03:00:00,0.1413898631871007,0.1356010758403933,0.05639306300922216,0.1091757336676831,7.986256652396058,6.165344487061183,8.008773244000007e-07,6.142702271370778e-07,0.0,0.0,0.0,-0.010900071619685647,-0.01657486003401587
2024-09-13 03:10:00,0.141363944123094,0.1356010758403933,0.05638431007997626,0.10906660820173468,7.985658639756587,6.164423165992733,8.008773244000007e-07,6.138332649899198e-07,0.0,0.0,0.0,-0.011498084259156549,-0.01749618110246587
2024-09-13 03:20:00,0.1413380250590874,0.1356010758403933,0.05637569411814349,0.10895638323566295,7.985061636725376,6.163499476673409,8.008773244000007e-07,6.13397127109918e-07,0.0,0.0,0.0,-0.012095087290367346,-0.018419870421789497
2024-09-13 03:30:00,0.1413121059950807,0.1356010758403933,0.05636720968184829,0.10884534100772596,7.984465614228196,6.1625736979739765,8.008773244000007e-07,6.12961765419368e-07,0.0,0.0,0.0,-0.012691109787548172,-0.019345649121222053
2024-09-13 03:40:00,0.1412861869310741,0.1356010758403933,0.05635905338017685,0.10873443248803094,7.983871753478594,6.161647316369809,8.008773244000007e-07,6.125305599365469e-07,0.0,0.0,0.0,-0.013284970537149832,-0.020272030725389634
2024-09-13 03:50:00,0.1412602678670674,0.1356010758403933,0.056351072232738074,0.10862504823440074,7.98328018123865,6.160721460122433,8.008773244000007e-07,6.12099655791564e-07,0.0,0.0,0.0,-0.013876542777094159,-0.021197886972765367
2024-09-13 04:00:00,0.1412343488030607,0.1356010758403933,0.056343225255302255,0.1085167688950643,7.982690486080139,6.159795631403935,8.008773244000007e-07,6.116694096024697e-07,0.0,0.0,0.0,-0.014466237935605086,-0.022123715691263257
2024-09-13 04:10:00,0.1412602678670674,0.1355783148724189,0.05633538170177636,0.10840922697074132,7.982101779568541,6.158869579180326,8.008773244000007e-07,6.112379242530677e-07,0.0,0.0,0.0,-0.015054944447202345,-0.023049767914872454
2024-09-13 04:20:00,0.1412861869310741,0.1355555539044444,0.056327619720972576,0.1083023943417429,7.981513852673055,6.157943420296174,8.008773244000007e-07,6.108075275680527e-07,0.0,0.0,0.0,-0.01564287134268838,-0.023975926799024272
2024-09-13 04:30:00,0.1413121059950808,0.13553279293647,0.05631995225359445,0.10819634861422742,7.980926851558455,6.157017282209348,8.008773244000007e-07,6.103779812921535e-07,0.0,0.0,0.0,-0.016229872457288685,-0.02490206488585045
2024-09-13 04:40:00,0.1413380250590874,0.1355100319684955,0.0563121742259873,0.10809032795187061,7.980339570396892,6.156089613182637,8.008773244000007e-07,6.099458873630539e-07,0.0,0.0,0.0,-0.0168171536188515,-0.025829733912561714
2024-09-13 04:50:00,0.141363944123094,0.1354872710005211,0.05630409268513248,0.10798228429512972,7.979749811791955,6.155157955566054,8.008773244000007e-07,6.095094737795347e-07,0.0,0.0,0.0,-0.017406912223788318,-0.026761391529144696
