time,Beech,Spruce
2024-09-13 03:00:00,26.705072804619483,6.513196663053542
2024-09-13 03:10:00,26.711958874525926,6.512259066127366
2024-09-13 03:20:00,26.718813339414197,6.511319432242419
2024-09-13 03:30:00,26.725636303637152,6.510377914142079
2024-09-13 03:40:00,26.732428927239567,6.5094358592986055
2024-09-13 03:50:00,26.73919158591747,6.508494352174931
2024-09-13 04:00:00,26.745924016314795,6.507553020846805
2024-09-13 04:10:00,26.752625842182795,6.506611621154233
2024-09-13 04:20:00,26.759297249259294,6.505670228822614
2024-09-13 04:30:00,26.765938556599004,6.504728955111669
2024-09-13 04:40:00,26.772548828230516,6.503786374453624
2024-09-13 04:50:00,26.77912520804897,6.502840181490427
2024-09-13 05:00:00,26.785657405631902,6.501885832834243
2024-09-13 05:10:00,26.792142527045765,6.500920385733254
2024-09-13 05:20:00,26.798584487894686,6.499946176830395
2024-09-13 05:30:00,26.98564768346545,6.502963207047218
2024-09-13 05:40:00,27.055091481829677,6.509687741213923
2024-09-13 05:50:00,27.07705029086601,6.514388720077155
2024-09-13 06:00:00,27.107167106106722,6.522929240627851
2024-09-13 06:10:00,27.12136226646768,6.532020563222683
2024-09-13 06:20:00,27.138835818117727,6.539658983920072
2024-09-13 06:30:00,27.156913479926562,6.542907598469992
2024-09-13 06:40:00,27.174961710445555,6.546505687518177
2024-09-13 06:50:00,27.192608047141526,6.55381825510815
2024-09-13 07:00:00,27.211828840233583,6.563817669066432
2024-09-13 07:10:00,27.23236121906908,6.575522746651601
2024-09-13 07:20:00,27.246267683801175,6.581658780821241
2024-09-13 07:30:00,27.26029750450473,6.5885638516561995
2024-09-13 07:40:00,27.270477073636318,6.59191746577915
2024-09-13 07:50:00,27.27971759491477,6.593996455812722
2024-09-13 08:00:00,27.29026820932923,6.597010678366763
2024-09-13 08:10:00,27.30372000448312,6.602242094846381
2024-09-13 08:20:00,27.315837916375585,6.606146043773336
2024-09-13 08:30:00,27.329766485036103,6.611635344207293
2024-09-13 08:40:00,27.340559365289558,6.614025868621172
