time,Beech,Spruce,Spruce_root,Beech_root
2024-09-13 03:00:00,25.01707439309684,6.165344487061183,8.008773244000007e-07,2.6589798981689293e-06
2024-09-13 03:10:00,25.02542637007353,6.164423165992733,8.008773244000007e-07,2.6591189826688923e-06
2024-09-13 03:20:00,25.033764057124916,6.163499476673409,8.008773244000007e-07,2.659257829112989e-06
2024-09-13 03:30:00,25.042087456467197,6.1625736979739765,8.008773244000007e-07,2.6593964430103666e-06
2024-09-13 03:40:00,25.050397789598712,6.161647316369809,8.008773244000007e-07,2.659536441087429e-06
2024-09-13 03:50:00,25.058695127506624,6.160721460122433,8.008773244000007e-07,2.6596738860519545e-06
2024-09-13 04:00:00,25.066979093509797,6.159795631403935,8.008773244000007e-07,2.65981086710663e-06
2024-09-13 04:10:00,25.075249139907477,6.158869579180326,8.008773244000007e-07,2.6599469606399773e-06
2024-09-13 04:20:00,25.08350540958066,6.157943420296174,8.008773244000007e-07,2.6600832752121718e-06
2024-09-13 04:30:00,25.091748068930613,6.157017282209348,8.008773244000007e-07,2.6602195161725423e-06
2024-09-13 04:40:00,25.099975858440544,6.156089613182637,8.008773244000007e-07,2.660353718887246e-06
2024-09-13 04:50:00,25.108185503650855,6.155157955566054,8.008773244000007e-07,2.6604834871815015e-06
2024-09-13 05:00:00,25.11636538589688,6.154217471422224,8.008773244000007e-07,2.6605961544209743e-06
2024-09-13 05:10:00,25.124513988813465,6.153265172617357,8.008773244000007e-07,2.6607129348821576e-06
2024-09-13 05:20:00,25.13335392929747,6.152473445240677,8.008773244000007e-07,2.662070830709096e-06
2024-09-13 05:30:00,25.143401411241403,6.152130892811426,8.008773244000007e-07,2.663423138200292e-06
2024-09-13 05:40:00,25.29696136474376,6.153269151391894,8.008773244000007e-07,2.6646239826579594e-06
2024-09-13 05:50:00,25.389349197310306,6.156112664697104,8.008773244000007e-07,2.6650670625094427e-06
2024-09-13 06:00:00,25.411346201118636,6.1579956803265805,8.008773244000007e-07,2.665462422748308e-06
2024-09-13 06:10:00,25.442387889929236,6.159189719875791,8.008773244000007e-07,2.6658112772064877e-06
2024-09-13 06:20:00,25.465950036486685,6.159922062635867,8.008773244000007e-07,2.66616114011678e-06
2024-09-13 06:30:00,25.47705914374021,6.159697404187504,8.008773244000007e-07,2.6665120808131254e-06
2024-09-13 06:40:00,25.48854706416836,6.160489683707483,8.008773244000007e-07,2.666857843065183e-06
2024-09-13 06:50:00,25.50323053654468,6.162202856635423,8.008773244000007e-07,2.6671977662771833e-06
2024-09-13 07:00:00,25.51999484821074,6.164534345924392,8.008773244000007e-07,2.667534373639463e-06
2024-09-13 07:10:00,25.538444380573488,6.167224085402943,8.008773244000007e-07,2.6678669921412622e-06
2024-09-13 07:20:00,25.554538673144286,6.1682315060247195,8.008773244000007e-07,2.668194591283252e-06
2024-09-13 07:30:00,25.569177404370272,6.168253283478386,8.008773244000007e-07,2.6685152542820103e-06
2024-09-13 07:40:00,25.582760433158796,6.1678827188730105,8.008773244000007e-07,2.6688301895716756e-06
2024-09-13 07:50:00,25.596437582032987,6.167741781913613,8.008773244000007e-07,2.6691394113724577e-06
2024-09-13 08:00:00,25.609168844213887,6.1671779919421965,8.008773244000007e-07,2.6694426467991588e-06
2024-09-13 08:10:00,25.62197274435879,6.166989105086581,8.008773244000007e-07,2.669739667785258e-06
2024-09-13 08:20:00,25.634842088243765,6.1670687291451225,8.008773244000007e-07,2.6700302814680013e-06
2024-09-13 08:30:00,25.64792981396066,6.167140057613397,8.008773244000007e-07,2.670314014880424e-06
2024-09-13 08:40:00,25.659777586161407,6.166275720091731,8.008773244000007e-07,2.670589121721117e-06
2024-09-13 08:50:00,25.671124800203053,6.165220864865567,8.008773244000007e-07,2.670857414964403e-06
2024-09-13 09:00:00,25.681934648279782,6.163854420565203,8.008773244000007e-07,2.671114030578207e-06
2024-09-13 09:10:00,25.69285792564765,6.163233330943613,8.008773244000007e-07,2.671362737474592e-06
2024-09-13 09:20:00,25.705067922564,6.163666287425749,8.008773244000007e-07,2.6716047110204556e-06
2024-09-13 09:30:00,25.717261506619217,6.163385523832376,8.008773244000007e-07,2.671833764765998e-06
2024-09-13 09:40:00,25.72874312189107,6.162451197596348,8.008773244000007e-07,2.672058124490078e-06
2024-09-13 09:50:00,25.73992971295391,6.161510758491478,8.008773244000007e-07,2.6722735758064903e-06
2024-09-13 10:00:00,25.75061725183969,6.160215701835531,8.008773244000007e-07,2.672482843273838e-06
2024-09-13 10:10:00,25.760942398435045,6.159688068799696,8.008773244000007e-07,2.6726823215923144e-06
2024-09-13 10:20:00,25.77173985123947,6.159959867492751,8.008773244000007e-07,2.6728736681505246e-06
2024-09-13 10:30:00,25.781710287915903,6.15921873784512,8.008773244000007e-07,2.673059582312696e-06
2024-09-13 10:40:00,25.79096240877273,6.158390260326668,8.008773244000007e-07,2.673234553660117e-06
2024-09-13 10:50:00,25.79984356383171,6.158042681688155,8.008773244000007e-07,2.673403662327817e-06
2024-09-13 11:00:00,25.808113494338432,6.157260915565729,8.008773244000007e-07,2.6735636161976046e-06
2024-09-13 11:10:00,25.816414046134547,6.156775060396595,8.008773244000007e-07,2.6737169695743916e-06
2024-09-13 11:20:00,25.82608539981491,6.157497535140893,8.008773244000007e-07,2.6738608801960325e-06
2024-09-13 11:30:00,25.83696131246978,6.158363945397685,8.008773244000007e-07,2.673998067463443e-06
2024-09-13 11:40:00,25.848772477325394,6.159472170087941,8.008773244000007e-07,2.674126603204469e-06
2024-09-13 11:50:00,25.862307484621823,6.161656879207389,8.008773244000007e-07,2.6742464703265837e-06
2024-09-13 12:00:00,25.878439565769142,6.164884803618582,8.008773244000007e-07,2.6743598303363987e-06
2024-09-13 12:10:00,25.896618383114387,6.168459982901612,8.008773244000007e-07,2.674461763980091e-06
2024-09-13 12:20:00,25.918081641415533,6.173844222404176,8.008773244000007e-07,2.674556118099625e-06
2024-09-13 12:30:00,25.94215101986053,6.1849336768692424,8.008773244000007e-07,2.6746422350841394e-06
2024-09-13 12:40:00,25.968176191827858,6.204572154094719,8.008773244000007e-07,2.67471656130063e-06
2024-09-13 12:50:00,25.995893754552096,6.226657255905652,8.008773244000007e-07,2.6747783927110687e-06
2024-09-13 13:00:00,26.02333534657754,6.248709131627487,8.008773244000007e-07,2.674827177925792e-06
2024-09-13 13:10:00,26.052509627384143,6.266798895082174,8.008773244000007e-07,2.6748589652275144e-06
2024-09-13 13:20:00,26.081380093838874,6.2833417205032855,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 13:30:00,26.104780498904667,6.295680673113779,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 13:40:00,26.12223275081209,6.3037416229919705,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 13:50:00,26.137765111933785,6.315494684318137,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 14:00:00,26.153012769181792,6.32474507045091,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 14:10:00,26.16852767255328,6.331817552238854,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 14:20:00,26.185695072486574,6.343234465061295,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 14:30:00,26.20313544093416,6.352462978654295,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 14:40:00,26.219888067754137,6.359674026337012,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 14:50:00,26.237625882970274,6.3702536893306485,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 15:00:00,26.255110434384964,6.378398861337422,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 15:10:00,26.27264771097936,6.387777322079475,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 15:20:00,26.291605626815265,6.40139272423741,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 15:30:00,26.31197289978806,6.416126806162198,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 15:40:00,26.333569187049164,6.432222079038448,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 15:50:00,26.35784377960427,6.454542287668951,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 16:00:00,26.385462687077336,6.480044840666318,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 16:10:00,26.414728972495997,6.505421319905056,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 16:20:00,26.443723861530124,6.530943507778528,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 16:30:00,26.47250779228852,6.558720528994094,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 16:40:00,26.50303398932472,6.5905835707057925,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 16:50:00,26.53525244741129,6.626214943958128,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 17:00:00,26.56985306445935,6.668562941175839,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 17:10:00,26.611548698894126,6.715038068918647,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 17:20:00,26.655737227901273,6.759024156582731,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 17:30:00,26.705380783238983,6.800573092236306,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 17:40:00,26.753555529913395,6.841248446982849,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 17:50:00,26.79572944777928,6.881338121894978,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 18:00:00,26.82860396470173,6.919525121913174,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 18:10:00,26.86358026421476,6.951070759958165,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 18:20:00,26.890982853355077,6.973913660881647,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 18:30:00,26.919951648280765,6.992407402849282,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 18:40:00,26.95212701927052,7.0145956566869625,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 18:50:00,26.99067762619675,7.045718065620571,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 19:00:00,27.031571516489564,7.075647778462657,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 19:10:00,27.0660848351785,7.102016124114039,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 19:20:00,27.100505748558902,7.1294936972853415,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 19:30:00,27.133754483341733,7.154606716532278,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 19:40:00,27.163603351389973,7.178041008376449,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 19:50:00,27.19331738667935,7.203462690765591,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 20:00:00,27.225505093931652,7.232077002201483,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 20:10:00,27.259064822505813,7.257747014023109,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 20:20:00,27.288416599354267,7.2854136367560365,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 20:30:00,27.318124957234478,7.307996312279587,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 20:40:00,27.34694722363182,7.338103414055897,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 20:50:00,27.38940447385263,7.382501382666228,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 21:00:00,27.441988570071764,7.433009136242353,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 21:10:00,27.493365246631473,7.494448385894506,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 21:20:00,27.56385186536745,7.576717579535883,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 21:30:00,27.666281352971414,7.678710769019625,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 21:40:00,27.8018386703278,7.782331022416089,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 21:50:00,27.855087247325535,7.867590360241176,8.008773244000007e-07,2.6748628999999963e-06
2024-09-13 22:00:00,27.89847259982443,7.936765568880275,8.008773244000007e-07,2.6748628999999963e-06
