depth_index,Beech_Soil,Spruce_Soil,Beech_Tree,Spruce_Tree,Beech_Tree_Profile,Spruce_Tree_Profile
1,0.44002849865959937,0.028274489418599117,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
2,0.041755169384038456,0.028334403565120826,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
3,0.03806863806249008,0.02857438576779314,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
4,0.03799512821326534,0.02893044714517805,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
5,0.04339511221489441,0.029207044450512674,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
6,0.04227761615035554,0.0304554191877556,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
7,0.0884986144403248,0.03369665382891541,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
8,0.033629172858563046,0.028298523459231728,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
9,0.033184966213083096,0.027612565632468066,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
10,0.03274034978370148,0.026936601854611737,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
11,0.0322953296809323,0.02626202389675527,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
12,0.03184991824814871,0.025583231083824994,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
13,0.03140413162105739,0.02489611206877802,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
14,0.03095798885884822,0.024197446642210577,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
15,0.030511511560792848,0.023484574537765604,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
16,0.030064723683413556,0.02275519736734422,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
17,0.02961765145272822,0.022007269885462637,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
