time,Beech_theta_meas,Spruce_theta_meas,Beech_theta,Spruce_theta,Beech,Spruce,Spruce_root,Beech_root,Rain_Beech,Rain_Spruce,Rain_Free,Beech_change,Spruce_change
2024-09-13 00:00:00,0.1414676203791204,0.13594249036001,0.15734030618513475,0.11129922088147155,16.95299275666344,6.1819193470951985,8.008773244000007e-07,1.3978297701789238e-07,0.0,0.0,0.0,0.0,0.0
2024-09-13 00:10:00,0.1414935394431271,0.1358969684240611,0.15725073483614466,0.11117638191281176,16.952966180726868,6.181003136589099,8.008773244000007e-07,1.394220621792743e-07,0.0,0.0,0.0,-2.6575936573181025e-05,-0.0009162105060998016
2024-09-13 00:20:00,0.1415194585071337,0.1358514464881122,0.15716154384233944,0.11105472473613509,16.95293865067824,6.180087459715826,8.008773244000007e-07,1.3906143848162426e-07,0.0,0.0,0.0,-5.410598519972609e-05,-0.0018318873793727874
2024-09-13 00:30:00,0.1415453775711404,0.1358059245521633,0.15707294615362374,0.11093425711551186,16.95291053937358,6.1791722903195225,8.008773244000007e-07,1.387014405067081e-07,0.0,0.0,0.0,-8.221728986157473e-05,-0.0027470567756759934
2024-09-13 00:40:00,0.1415194585071337,0.1358286855201377,0.15698502186076344,0.11081405803676152,16.952882013087784,6.178255696291978,8.008773244000007e-07,1.3834213845420343e-07,0.0,0.0,0.0,-0.00011074357565732385,-0.0036636508032206194
2024-09-13 00:50:00,0.1414935394431271,0.1358514464881122,0.15689781609664463,0.11069215019694989,16.952853197164256,6.17733587222577,8.008773244000007e-07,1.3798357075696076e-07,0.0,0.0,0.0,-0.00013955949918553756,-0.00458347486942845
2024-09-13 01:00:00,0.1414676203791204,0.1358742074560866,0.15681135632906404,0.11056915858784092,16.952824188478772,6.176413539664534,8.008773244000007e-07,1.3762575807100186e-07,0.0,0.0,0.0,-0.00016856818466948198,-0.005505807430664866
2024-09-13 01:10:00,0.1414417013151137,0.1358742074560866,0.1567254128997395,0.11044608581779296,16.952793920096653,6.175489901241884,8.008773244000007e-07,1.3726756706333583e-07,0.0,0.0,0.0,-0.00019883656678842954,-0.006429445853314952
2024-09-13 01:20:00,0.141415782251107,0.1358742074560866,0.15663984877518275,0.11032400654229328,16.95276245249865,6.174565915161619,8.008773244000007e-07,1.3690991968345474e-07,0.0,0.0,0.0,-0.00023030416479130622,-0.007353431933579735
2024-09-13 01:30:00,0.1413898631871004,0.1358742074560866,0.15655483603285952,0.11020298302928648,16.952730114733484,6.17364161626698,8.008773244000007e-07,1.365530097201949e-07,0.0,0.0,0.0,-0.00026264192995739677,-0.008277730828218921
2024-09-13 01:40:00,0.1414157822511071,0.1358514464881122,0.15647081065759624,0.11008330291900115,16.95269878420391,6.172717772635745,8.008773244000007e-07,1.361985985617861e-07,0.0,0.0,0.0,-0.000293972459530778,-0.009201574459453354
2024-09-13 01:50:00,0.1414417013151139,0.1358286855201377,0.15638800418832222,0.10996561616943616,16.95266850163696,6.171794979685993,8.008773244000007e-07,1.3584526612293455e-07,0.0,0.0,0.0,-0.00032425502648081306,-0.010124367409205526
2024-09-13 02:00:00,0.1414676203791207,0.1358059245521633,0.15630617844979425,0.10984935808696757,16.952638937655,6.170872460577743,8.008773244000007e-07,1.3549275263009982e-07,0.0,0.0,0.0,-0.0003538190084420023,-0.011046886517455334
2024-09-13 02:10:00,0.1414676203791207,0.1358286855201377,0.15622545556563044,0.10973408226413947,16.952610981546268,6.1699501357545685,8.008773244000007e-07,1.3514205053550977e-07,0.0,0.0,0.0,-0.00038177511717307766,-0.011969211340630004
2024-09-13 02:20:00,0.1414676203791207,0.1358514464881122,0.15614587012129383,0.10962019455153645,16.95258442265793,6.169028313811247,8.008773244000007e-07,1.347922201322286e-07,0.0,0.0,0.0,-0.0004083340055096585,-0.012891033283951359
2024-09-13 02:30:00,0.1414676203791207,0.1358742074560866,0.1560672116263217,0.10950734939117639,16.952558923054053,6.168106607248765,8.008773244000007e-07,1.344431090373894e-07,0.0,0.0,0.0,-0.00043383360938875626,-0.013812739846433608
2024-09-13 02:40:00,0.1414417013151141,0.1357831635841888,0.1559895667486443,0.10939553941402744,16.952535180372617,6.167185326500873,8.008773244000007e-07,1.3409559704579508e-07,0.0,0.0,0.0,-0.00045757629082388007,-0.014734020594325159
2024-09-13 02:50:00,0.1414157822511074,0.1356921197122911,0.15591295355303372,0.10928511074094258,16.952512956182364,6.166264737692849,8.008773244000007e-07,1.3374887418773017e-07,0.0,0.0,0.0,-0.0004798004810773193,-0.01565460940234953
2024-09-13 03:00:00,0.1413898631871007,0.1356010758403933,0.1558371790912834,0.1091757336676831,16.952491909438272,6.165344487061183,8.008773244000007e-07,1.3340281334647915e-07,0.0,0.0,0.0,-0.0005008472251688545,-0.01657486003401587
2024-09-13 03:10:00,0.141363944123094,0.1356010758403933,0.1557621069457075,0.10906660820173468,16.952471648025718,6.164423165992733,8.008773244000007e-07,1.3306002128384264e-07,0.0,0.0,0.0,-0.0005211086377236995,-0.01749618110246587
2024-09-13 03:20:00,0.1413380250590874,0.1356010758403933,0.15568765428606735,0.10895638323566295,16.952452050454696,6.163499476673409,8.008773244000007e-07,1.3272361778028707e-07,0.0,0.0,0.0,-0.0005407062087456893,-0.018419870421789497
2024-09-13 03:30:00,0.1413121059950807,0.1356010758403933,0.15561380859654955,0.10884534100772596,16.952433060867257,6.1625736979739765,8.008773244000007e-07,1.3238769105552346e-07,0.0,0.0,0.0,-0.0005596957961842008,-0.019345649121222053
2024-09-13 03:40:00,0.1412861869310741,0.1356010758403933,0.15554100087825706,0.10873443248803094,16.95241674161078,6.161647316369809,8.008773244000007e-07,1.3205446449817966e-07,0.0,0.0,0.0,-0.0005760150526619157,-0.020272030725389634
2024-09-13 03:50:00,0.1412602678670674,0.1356010758403933,0.15546942908523653,0.10862504823440074,16.952402792828245,6.160721460122433,8.008773244000007e-07,1.3172198300802046e-07,0.0,0.0,0.0,-0.0005899638351962722,-0.021197886972765367
2024-09-13 04:00:00,0.1412343488030607,0.1356010758403933,0.15539872770070334,0.1085167688950643,16.952390577625334,6.159795631403935,8.008773244000007e-07,1.3138992633833774e-07,0.0,0.0,0.0,-0.0006021790381076642,-0.022123715691263257
2024-09-13 04:10:00,0.1412602678670674,0.1355783148724189,0.1553286026580825,0.10840922697074132,16.952379105679043,6.158869579180326,8.008773244000007e-07,1.3105755989954867e-07,0.0,0.0,0.0,-0.0006136509843983617,-0.023049767914872454
2024-09-13 04:20:00,0.1412861869310741,0.1355555539044444,0.15525888598973653,0.1083023943417429,16.952368220467132,6.157943420296174,8.008773244000007e-07,1.307255238874848e-07,0.0,0.0,0.0,-0.0006245361963088669,-0.023975926799024272
2024-09-13 04:30:00,0.1413121059950808,0.13553279293647,0.1551896302923629,0.10819634861422742,16.95235794927205,6.157017282209348,8.008773244000007e-07,1.3039394164448891e-07,0.0,0.0,0.0,-0.0006348073913926555,-0.02490206488585045
2024-09-13 04:40:00,0.1413380250590874,0.1355100319684955,0.15512038074383575,0.10809032795187061,16.952346107894904,6.156089613182637,8.008773244000007e-07,1.300606449512865e-07,0.0,0.0,0.0,-0.0006466487685372613,-0.025829733912561714
2024-09-13 04:50:00,0.141363944123094,0.1354872710005211,0.15505078057715732,0.10798228429512972,16.952332262024633,6.155157955566054,8.008773244000007e-07,1.2972698814858347e-07,0.0,0.0,0.0,-0.000660494638808018,-0.026761391529144696
2024-09-13 05:00:00,0.1413898631871007,0.1354645100325466,0.15498062500870627,0.10786959289642059,16.952314797879378,6.154217471422224,8.008773244000007e-07,1.2939161991365303e-07,0.0,0.0,0.0,-0.0006779587840632928,-0.027701875672974552
