# campaign: 2024-09-08 00:00:00+00:00 2024-09-30 00:00:00+00:00
# time[s] T_n8cm[˚C] T_n15cm[˚C] T_n23cm[˚C] theta_n8cm[-] theta_n23cm[-]
0.0 16.5 16.75 16.145833333333332 0.09845517610610015 0.08886045359576637
600.0 16.493055555555557 16.71527777777778 16.145833333333332 0.0984324151381257 0.08886045359576637
1200.0 16.48611111111111 16.680555555555554 16.145833333333332 0.09840965417015125 0.08886045359576637
1800.0 16.479166666666668 16.645833333333332 16.145833333333332 0.0983868932021768 0.08886045359576637
2400.0 16.458333333333336 16.645833333333332 16.145833333333332 0.09831861029825346 0.08886045359576637
3000.0 16.4375 16.645833333333332 16.145833333333332 0.09825032739433014 0.08886045359576637
3600.0 16.416666666666668 16.645833333333332 16.145833333333332 0.0981820444904068 0.08886045359576637
4200.0 16.395833333333336 16.631944444444443 16.13888888888889 0.09820480545838124 0.08886045359576637
4800.0 16.375 16.618055555555557 16.131944444444443 0.09822756642635569 0.08886045359576637
5400.0 16.354166666666668 16.604166666666668 16.125 0.09825032739433014 0.08886045359576637
6000.0 16.34027777777778 16.59027777777778 16.125 0.09818204449040681 0.08886045359576637
6600.0 16.32638888888889 16.57638888888889 16.125 0.09811376158648347 0.08886045359576637
7200.0 16.3125 16.5625 16.125 0.09804547868256014 0.08886045359576637
7800.0 16.28472222222222 16.541666666666668 16.118055555555557 0.0980227177145857 0.08884387875520526
8400.0 16.256944444444446 16.520833333333332 16.11111111111111 0.09799995674661127 0.08882730391464415
9000.0 16.229166666666668 16.5 16.104166666666668 0.09797719577863684 0.08881072907408304
9600.0 16.22222222222222 16.493055555555557 16.104166666666668 0.0979089128747135 0.08879415423352192
10200.0 16.21527777777778 16.48611111111111 16.104166666666668 0.09784062997079016 0.08877757939296081
10800.0 16.208333333333332 16.479166666666668 16.104166666666668 0.09777234706686681 0.0887610045523997
11400.0 16.180555555555554 16.46527777777778 16.09027777777778 0.09777234706686681 0.0887610045523997
12000.0 16.15277777777778 16.45138888888889 16.07638888888889 0.09777234706686681 0.0887610045523997
12600.0 16.125 16.4375 16.0625 0.09777234706686681 0.0887610045523997
13200.0 16.118055555555557 16.416666666666668 16.0625 0.09772682513091792 0.0887610045523997
13800.0 16.11111111111111 16.395833333333332 16.0625 0.09768130319496902 0.0887610045523997
14400.0 16.104166666666668 16.375 16.0625 0.09763578125902013 0.0887610045523997
15000.0 16.069444444444446 16.36111111111111 16.055555555555557 0.09761302029104568 0.08874442971183859
15600.0 16.03472222222222 16.34722222222222 16.04861111111111 0.09759025932307125 0.08872785487127748
16200.0 16.0 16.333333333333332 16.041666666666668 0.0975674983550968 0.08871128003071636
16800.0 16.0 16.32638888888889 16.03472222222222 0.09752197641914792 0.08871128003071636
17400.0 16.0 16.319444444444443 16.02777777777778 0.09747645448319903 0.08871128003071636
18000.0 16.0 16.3125 16.020833333333332 0.09743093254725015 0.08871128003071636
18600.0 15.965277777777779 16.291666666666668 16.01388888888889 0.09743093254725015 0.08871128003071636
19200.0 15.930555555555555 16.270833333333332 16.006944444444443 0.09743093254725015 0.08871128003071636
