# OPTIMALIZATION LOG --- STAGE 1 --- 2026-02-18 23:49:31 
call_id,timestamp,error,error_heat,error_moist,b1_org[W/(m.K)],b2_org[W/(m.K)],b3_org[W/(m.K)],b1_min[W/(m.K)],b2_min[W/(m.K)],b3_min[W/(m.K)],albedo[-],alpha_org[1/m],n_org[-],K_org[m/s],alpha_min[1/m],n_min[-],K_min[m/s],S_max[m/s]
37,2026-02-19 00:21:33,7.2343726,3.1680466,3.4914279,3.5659307,4.6366625,4.5904622,0.90490305,7.7627346,0.88901637,0.072088546,0.05644605,2.0204249,-4.3118952,0.70263923,2.6336153,-5.8391337,3.7081259e-08
34,2026-02-19 00:21:48,6.563253,2.9801356,2.7479913,4.0884313,4.9575648,8.1176416,6.1149888,5.0253521,4.2931602,0.12366669,0.66761574,2.3295622,-3.5478137,0.040445797,2.4927329,-5.6574413,7.0864841e-08
35,2026-02-19 00:21:57,6.7484364,2.8451462,3.6279425,1.6249333,5.6722595,9.2737101,8.5895502,1.5747935,4.0245098,0.28649694,0.58147142,1.8580026,-6.6752282,0.78454742,1.9974147,-3.489603,4.8267806e-08
38,2026-02-19 00:22:29,6.9092805,2.923527,3.6810484,9.753085,4.4989109,4.6727459,8.553664,6.2120164,5.9524537,0.27903674,0.38893828,1.1972356,-7.5817213,0.45123384,3.013644,-4.8532962,5.3293758e-08
40,2026-02-19 00:26:31,7.2046951,3.1554336,3.4757137,7.3822386,6.2451856,2.644357,3.8172209,0.81399067,9.3706191,0.26226756,0.47414294,1.7812369,-4.9679329,0.28538626,2.8345996,-5.2901937,8.2022533e-08
42,2026-02-19 00:28:10,6.4040607,2.6208637,3.6791693,1.7767415,7.0132979,7.8232749,5.83274,2.0757429,6.7319467,0.24236262,0.41868509,2.5703097,-4.8503474,0.90962874,3.9485633,-3.0541993,9.1275608e-08
44,2026-02-19 00:29:31,7.3522861,3.189139,3.6570042,9.8151296,6.6573578,3.4447109,5.9224641,8.3399168,0.34002834,0.26894664,0.043106711,3.7412263,-7.8142611,0.10001918,2.8828237,-6.1197173,1.3407359e-08
43,2026-02-19 00:29:38,7.1359825,3.4560808,1.7732084,9.6700785,0.45636755,3.0876861,1.7616732,5.5413355,6.3902488,0.081642163,0.74105375,3.7125132,-5.3209834,0.011525087,3.9653861,-6.4184369,3.0608464e-08
45,2026-02-19 00:33:33,6.6437835,3.0012872,2.8476235,1.5247352,6.3387511,8.8987897,3.5295185,6.1217711,7.7588734,0.1687587,0.16338726,1.3601004,-6.0676775,0.15134012,1.8788722,-5.9267637,5.5248358e-08
46,2026-02-19 00:35:42,6.2005291,2.8297155,2.5332595,4.9020764,3.8655221,5.9858491,0.17734209,6.6530252,6.293309,0.20719977,0.16808016,3.7535327,-5.2574717,0.81495536,1.1139316,-7.9819873,3.9033323e-08
50,2026-02-19 00:41:35,6.9962443,3.0715797,3.3479883,9.051807,8.7437256,5.6093204,9.1484097,7.685716,4.334486,0.25505743,0.37982658,2.1074608,-3.8567691,0.20738339,2.7815389,-6.7997993,9.6931064e-08
12,2026-02-19 00:44:11,6.8573943,2.8927455,3.6812975,0.41147726,5.3134275,8.0182319,7.0071585,1.0474196,8.4495369,0.12171013,0.51973791,1.0737872,-6.9763414,0.94215354,3.8918813,-7.7434806,2.062414e-08
51,2026-02-19 00:47:17,4.817426,2.1461673,2.1871116,1.2220075,1.244317,2.4915004,8.0595761,5.659721,1.4146348,0.1868842,0.84727661,3.1649023,-4.8021441,0.2452687,1.7195081,-6.7204792,7.0295692e-08
39,2026-02-19 00:49:27,7.0772348,3.0222249,3.6812877,9.3652088,1.3627053,5.4447046,7.1389979,4.4866851,1.1189351,0.23176104,0.28829475,1.1521984,-7.1426015,0.76288563,3.6801247,-7.4334136,1.4652111e-08
