# OPTIMALIZATION LOG --- STAGE 1 --- 2026-02-19 20:27:24 
call_id,timestamp,error,error_heat,error_moist,b1_org[W/(m.K)],b2_org[W/(m.K)],b3_org[W/(m.K)],b1_min[W/(m.K)],b2_min[W/(m.K)],b3_min[W/(m.K)],albedo[-],alpha_org[1/m],n_org[-],K_org[m/s],alpha_min[1/m],n_min[-],K_min[m/s],S_max[m/s]
37,2026-02-19 21:10:20,9.8077204,8.1554467,5.4479417,2.8818943,6.4993973,5.2559958,2.4028478,0.83206453,3.660462,0.27108086,0.60689693,1.3246068,-5.5053068,0.0090605572,2.3334233,-4.7628346,-6.2703582
38,2026-02-19 21:13:05,10.873182,8.0013876,7.3623294,2.6291223,7.7846162,3.260663,0.66910714,3.8263229,5.6756515,0.081496873,0.46745214,1.3589497,-3.7738576,0.59386434,4.7457733,-3.6258056,-8.4083217
40,2026-02-19 21:13:36,10.31355,7.9776602,6.5365323,1.2468571,6.7123543,5.6902068,2.7184394,5.5453649,4.4912953,0.13651292,0.25120287,1.731843,-4.0690992,0.19875114,2.467333,-4.5639742,-8.1579268
41,2026-02-19 21:14:32,10.870764,8.0458558,7.3101111,0.31658449,6.58172,3.762172,2.4353567,0.60935562,3.7914214,0.12934105,0.28301999,1.3984272,-5.2038943,0.17842041,3.8914194,-3.8557563,-8.3695815
45,2026-02-19 21:22:50,10.953821,8.1561324,7.3118869,2.0939671,4.7495947,4.1177197,2.7403709,4.9261287,0.9984496,0.063640869,0.41939294,1.2472872,-5.6981321,0.36684638,3.3876442,-3.6898934,-6.6708567
46,2026-02-19 21:23:46,9.8151693,6.4938288,7.3598734,1.4622758,3.5966723,0.065375693,0.059411199,2.9352777,5.1773565,0.23075831,0.86207246,1.2676691,-3.078123,0.41456623,4.4393582,-4.6500651,-8.6498225
47,2026-02-19 21:32:04,11.084083,8.296425,7.3502538,2.0239895,4.6733014,1.4650237,1.1790991,6.5602203,0.84365797,0.25804539,0.13524489,1.0542903,-4.5541978,0.79936941,3.1054088,-7.3053006,-8.9687277
48,2026-02-19 21:33:00,10.957721,8.3198607,7.1310282,2.1253469,3.8351047,1.9245987,0.59067542,4.0711979,5.1561031,0.070542128,0.81727122,1.2092372,-7.4511379,0.73371679,2.3050398,-5.2785041,-6.8351634
49,2026-02-19 21:36:54,11.128737,8.3455947,7.3620535,1.535583,3.9968832,3.5684285,2.4911067,4.5509052,5.3991247,0.25326002,0.65105089,1.5287941,-6.1980267,0.76024589,4.1011959,-3.1415339,-8.4959814
50,2026-02-19 21:41:21,10.000425,7.3413375,6.7906744,0.82833276,5.7472056,0.86923071,1.3056936,5.1708785,5.425956,0.28069534,0.29296309,1.77667,-5.6303442,0.097847591,2.8610353,-6.1150049,-8.9256656
51,2026-02-19 21:42:13,12.286245,9.8378035,7.3599885,2.8538322,7.9219468,2.0034271,1.2856002,7.3690567,4.7787087,0.076452703,0.57034152,1.9630951,-5.000099,0.67775827,3.7887707,-3.599015,-6.6041888
54,2026-02-19 21:51:30,10.811967,7.9188803,7.3613838,1.0294949,4.124237,0.43096652,2.1896412,4.1502203,0.88839479,0.26684523,0.66040076,1.3630536,-3.6010502,0.75094434,3.8782568,-3.570382,-8.1697779
6,2026-02-19 21:51:46,10.826303,8.5214741,6.6778231,2.8119861,0.8108761,1.202159,2.9734648,4.5194133,0.7700399,0.26645722,0.21151733,1.7745641,-3.9924374,0.13204328,4.5266983,-6.6776115,-7.8982207
43,2026-02-19 21:54:48,10.744483,8.2029802,6.9393824,1.4903963,1.587171,3.4733669,2.2063804,4.4558069,1.956534,0.19658969,0.96220779,1.6942366,-5.5978857,0.65998884,3.2299216,-6.8677803,-7.1365579
56,2026-02-19 21:57:33,11.528809,8.8730745,7.3608409,1.3693067,7.1839347,1.0580384,0.570859,5.2171841,0.31325715,0.059697649,0.58607271,1.8186509,-5.152994,0.32151869,4.946859,-4.1718646,-7.3943904
57,2026-02-19 22:00:42,10.610184,7.660907,7.340743,1.3563126,2.7646911,5.1222868,0.15991528,7.7852476,1.4886857,0.20288435,0.84434362,1.7013345,-5.0520618,0.94017143,2.7703041,-7.6693983,-7.4329028
58,2026-02-19 22:01:01,11.302935,8.7034754,7.2115081,2.6654974,5.6744516,5.2221736,2.6853234,0.15287626,4.2905058,0.23648816,0.34792317,1.6898753,-6.0044263,0.45359307,2.7890524,-7.320059,-6.8078451
59,2026-02-19 22:04:01,8.9238591,5.2502905,7.2159346,0.22321323,6.1426886,0.035274935,1.3845393,4.6450629,2.4748867,0.1180454,0.62958992,1.9742264,-4.8793383,0.27589905,3.1332645,-3.9749916,-8.745085
60,2026-02-19 22:07:29,10.195939,7.8966526,6.4498098,0.16841407,7.5270997,3.1695409,1.361543,0.30130145,3.0543211,0.11228217,0.48315942,1.8322248,-3.2902939,0.15515952,4.7866033,-7.2231732,-8.6802838
62,2026-02-19 22:09:56,11.026703,8.2093135,7.3617497,0.24650924,2.1471941,4.4285001,2.6504457,4.7463977,0.073054441,0.13337895,0.0011208707,1.8071114,-6.3753235,0.46254381,4.737703,-4.6944854,-8.8073946
66,2026-02-19 22:19:19,10.687888,7.8139045,7.2920394,0.34269416,1.1974156,3.8114466,2.7265882,6.1076501,4.6979914,0.21632119,0.82477432,1.0895028,-5.2236682,0.66748037,2.7508,-7.2060721,-6.6462679
22,2026-02-19 22:20:02,10.530578,7.6748694,7.2103718,2.2143447,0.037926259,3.618662,0.32755977,3.5207793,0.97127034,0.24877255,0.033085009,1.5572681,-6.2321161,0.72863083,3.3335689,-7.3431111,-7.057954
64,2026-02-19 22:25:03,10.889125,8.022823,7.3625645,0.28055756,0.26871319,4.746248,0.86127655,7.1739197,3.157823,0.094682997,0.69535773,1.3500997,-7.1359315,0.99519277,3.3302861,-6.7368773,-8.1337174
67,2026-02-19 22:28:33,11.359451,8.6548708,7.3573321,1.6832242,7.4492733,4.0193952,1.1668278,5.493972,5.6515045,0.061181355,0.33675064,1.1011895,-4.0301393,0.65432709,3.6097783,-3.4746966,-6.7788336
69,2026-02-19 22:34:17,11.281632,8.5521232,7.3577443,2.3796925,6.6470114,5.5494543,1.6042047,5.6045449,3.0991274,0.20422143,0.15275159,1.6697936,-4.6824029,0.57203709,3.8088229,-5.4979415,-8.8928896
70,2026-02-19 22:37:46,11.313938,8.5920343,7.3608511,1.5145791,4.5966519,4.8038372,1.0506596,3.3280099,3.2696481,0.29149049,0.93090471,1.7858273,-4.9736444,0.49725875,3.9157469,-7.7788778,-8.6741617
72,2026-02-19 22:46:58,10.423723,7.3926845,7.3486198,1.7172165,5.6891821,0.14861207,0.60192479,5.7773924,5.4593563,0.21185619,0.51326934,1.4650061,-3.2414669,0.95845824,2.8687333,-4.0294468,-7.482209
73,2026-02-19 22:52:59,11.027059,8.2304555,7.3386398,1.5946169,3.1524668,1.6836371,1.1534286,1.3018992,1.0872779,0.1675204,0.036422612,1.712342,-6.8052802,0.34468764,3.7554272,-5.6319201,-8.0888271
53,2026-02-19 22:55:18,10.439474,7.4011867,7.3624083,0.31032954,0.40521289,4.5066746,0.45483622,6.1958557,2.3126601,0.17163796,0.34843062,1.4820555,-5.0093286,0.13896227,3.7064129,-5.4003241,-6.0630207
