# campaign: 2024-09-08 00:00:00+00:00 2024-09-30 00:00:00+00:00
# time[s] T_15cm[˚C]
0.0 17.520833333333332
600.0 17.47222222222222
1200.0 17.42361111111111
1800.0 17.375
2400.0 17.208333333333332
3000.0 17.041666666666668
3600.0 16.875
4200.0 16.833333333333332
4800.0 16.791666666666668
5400.0 16.75
6000.0 16.631944444444443
6600.0 16.51388888888889
7200.0 16.395833333333332
7800.0 16.256944444444446
8400.0 16.118055555555554
9000.0 15.979166666666666
9600.0 15.965277777777779
10200.0 15.951388888888888
10800.0 15.9375
11400.0 15.833333333333334
12000.0 15.729166666666666
12600.0 15.625
13200.0 15.465277777777779
13800.0 15.305555555555555
14400.0 15.145833333333334
15000.0 15.020833333333334
15600.0 14.895833333333334
16200.0 14.770833333333334
16800.0 14.701388888888888
17400.0 14.631944444444445
18000.0 14.5625
18600.0 14.583333333333334
19200.0 14.604166666666666
19800.0 14.625
20400.0 14.847222222222223
21000.0 15.069444444444443
21600.0 15.291666666666666
22200.0 15.708333333333334
22800.0 16.125
23400.0 16.541666666666668
24000.0 16.875
24600.0 17.208333333333332
25200.0 17.541666666666668
25800.0 18.034722222222225
26400.0 18.527777777777775
27000.0 19.020833333333332
27600.0 19.42361111111111
28200.0 19.82638888888889
28800.0 20.229166666666668
29400.0 20.659722222222225
30000.0 21.090277777777775
30600.0 21.520833333333332
31200.0 21.819444444444443
31800.0 22.118055555555557
32400.0 22.416666666666668
33000.0 22.743055555555557
33600.0 23.069444444444443
34200.0 23.395833333333332
34800.0 23.729166666666668
35400.0 24.0625
36000.0 24.395833333333332
36600.0 24.8125
37200.0 25.229166666666668
37800.0 25.645833333333332
38400.0 25.930555555555557
39000.0 26.215277777777775
39600.0 26.5
40200.0 26.645833333333332
40800.0 26.791666666666668
41400.0 26.9375
42000.0 27.0
42600.0 27.0625
43200.0 27.125
43800.0 27.277777777777782
44400.0 27.430555555555554
45000.0 27.583333333333332
45600.0 27.701388888888886
46200.0 27.819444444444446
46800.0 27.9375
47400.0 28.041666666666668
48000.0 28.145833333333332
48600.0 28.25
49200.0 27.98611111111111
49800.0 27.722222222222225
50400.0 27.458333333333332
51000.0 27.361111111111114
51600.0 27.263888888888886
52200.0 27.166666666666668
52800.0 26.979166666666668
53400.0 26.791666666666668
54000.0 26.604166666666668
54600.0 26.4375
55200.0 26.270833333333332
55800.0 26.104166666666668
56400.0 25.98611111111111
57000.0 25.868055555555557
57600.0 25.75
58200.0 25.513888888888886
58800.0 25.277777777777782
59400.0 25.041666666666668
60000.0 24.722222222222225
60600.0 24.402777777777775
61200.0 24.083333333333332
61800.0 23.847222222222218
62400.0 23.611111111111114
63000.0 23.375
63600.0 23.17361111111111
64200.0 22.972222222222225
64800.0 22.770833333333332
65400.0 22.784722222222218
66000.0 22.798611111111114
66600.0 22.8125
67200.0 22.784722222222225
67800.0 22.756944444444443
68400.0 22.729166666666668
69000.0 22.6875
69600.0 22.645833333333332
