# OPTIMISATION LOG --- BEECH BROAD --- 2026-07-06 17:50:35
call_id,timestamp,error,error_heat,error_moist,b1_org[W/(m.K)],b2_org[W/(m.K)],b3_org[W/(m.K)],b1_min[W/(m.K)],b2_min[W/(m.K)],b3_min[W/(m.K)],albedo[-],alpha_org[1/m],n_org[-],K_org[m/s],alpha_min[1/m],n_min[-],K_min[m/s],S_max[m/s]
50,2026-07-06 18:18:55,3.5136034,2.9927657,1.840859,1.6031405,5.9332178,0.93107282,1.1618804,4.2774028,3.9362886,0.11150843,2.8859811,4.0964816,0.00040374066,1.7957228,1.973767,3.7568485e-05,8.3160067e-09
53,2026-07-06 18:19:45,4.9641857,3.6377744,3.3778302,1.8803109,6.7086494,3.1414554,1.1354029,7.9760889,5.1312618,0.15360278,4.5889599,3.4658451,7.2117807e-05,1.5840051,1.8495165,6.8538178e-08,1.2324571e-07
52,2026-07-06 18:20:53,4.3264276,2.7462802,3.3430407,0.84264055,5.4238971,2.1374577,1.2735247,0.56633198,2.5211785,0.2070134,1.1879083,2.8086307,3.5506608e-06,3.5384399,1.4465139,1.9422582e-05,5.032534e-07
54,2026-07-06 18:21:53,4.7907725,3.3525627,3.4222543,0.99187722,3.5682867,1.4381812,0.94033554,4.8262066,1.2375201,0.095894035,5.1322191,2.7945179,2.5046423e-07,1.0114711,1.60629,0.0001917541,3.0189991e-08
57,2026-07-06 18:25:21,4.7389783,3.4428961,3.2564369,1.1877625,4.5779264,3.9953919,0.83098569,2.7516402,1.3379636,0.11604516,5.2350648,4.1877159,3.0643983e-08,3.8278263,1.4111874,5.9004782e-05,2.3758727e-08
58,2026-07-06 18:25:42,4.8074912,3.2633892,3.530193,0.83873717,5.2614473,0.46603209,0.060061477,6.5264126,2.9115163,0.090992616,7.0451447,4.3653226,0.0005769379,4.3403173,1.5150557,1.6084074e-08,1.2565479e-09
59,2026-07-06 18:26:02,3.9489537,2.4069726,3.1306098,0.61894802,3.4605919,3.7401162,0.97031123,5.2537815,5.7275354,0.15511882,4.2064162,3.2555009,0.00055447582,5.8658606,1.4041736,5.2502469e-06,4.6555223e-07
60,2026-07-06 18:26:03,4.6662485,3.2392806,3.3587106,0.13692059,7.4508405,4.9566687,0.60732702,0.95824489,1.6031264,0.16875646,7.4961381,2.4011852,2.8023222e-08,9.7843389,1.5534179,0.00026163854,7.7492323e-09
61,2026-07-06 18:26:14,2.5830155,2.4741316,0.74205266,0.44115335,5.0023248,5.377482,0.115484,0.24685767,3.1174793,0.23638261,1.2426877,4.771434,0.00016586444,1.0595154,1.9837511,2.3163776e-06,9.33836e-09
62,2026-07-06 18:26:53,4.7858191,2.8388758,3.8529014,0.93593141,3.8194834,4.4718114,1.8374212,3.5042772,2.2643747,0.22300377,8.2280048,4.5185806,9.5520795e-05,4.0480872,1.8875782,0.00064224623,2.6520757e-07
63,2026-07-06 18:28:44,3.6043912,3.3313745,1.376074,1.1370954,0.57098619,3.8691962,0.59612547,2.8431225,0.12342754,0.073723182,9.7912328,2.2911309,1.6910999e-06,4.6967498,1.5036806,8.8081019e-06,1.0929882e-08
64,2026-07-06 18:29:08,4.8153448,3.5598405,3.2426966,1.0262611,6.5017539,5.6224097,0.62714789,7.5907782,2.0143421,0.17337271,4.9981137,4.0639948,2.6962118e-08,2.4440564,1.6473115,7.8896031e-06,6.0614385e-09
65,2026-07-06 18:29:21,3.4604937,3.0777487,1.5819227,0.73292073,3.412624,3.0393416,1.3202656,7.126379,1.4911151,0.25689359,3.2987037,2.5455148,9.2135087e-07,1.4355369,1.6030055,3.0635515e-06,2.4021566e-08
66,2026-07-06 18:30:24,4.7496476,3.6497544,3.039481,1.4242601,5.1711038,3.2380821,1.0043147,2.1474163,2.6275381,0.22545462,2.3084912,2.9290502,1.1234611e-07,1.4815068,1.7407854,4.5896686e-05,3.8921189e-09
67,2026-07-06 18:31:04,3.2972484,3.0476163,1.2585237,1.9298351,1.391852,4.6888272,0.74878067,0.86637212,1.0583207,0.29249928,9.6750231,3.5953721,0.00023703467,1.6452603,1.8774974,2.2757798e-05,7.1596266e-09
68,2026-07-06 18:31:07,4.4569168,3.5531021,2.6906454,1.4089952,6.6458899,3.3732709,0.58708186,5.9429409,1.2074013,0.1237867,1.0626615,3.6967869,5.357393e-06,5.4329077,1.8550797,0.00051419007,9.0627422e-09
69,2026-07-06 18:31:23,3.8143015,3.1193307,2.1951475,1.955352,2.2648158,4.8660343,1.2491067,0.49956077,2.1323698,0.2944145,1.2199311,3.8174737,0.00015019977,1.3531888,1.5954302,0.00049936187,8.4507856e-09
72,2026-07-06 18:33:55,3.619985,3.154721,1.7753949,0.048304058,7.1428582,5.4620786,1.8282963,2.329907,1.4300881,0.16126176,1.9687376,4.2404454,1.8312127e-07,3.3215599,1.5166878,3.5449712e-06,5.7181508e-09
71,2026-07-06 18:34:46,4.8373622,2.9573972,3.828038,0.62963379,1.1229551,2.7965792,1.6775777,1.6828669,2.690723,0.064238674,3.2148063,3.1961968,7.4826225e-08,2.7129994,1.8242683,5.5538162e-06,1.4221297e-07
75,2026-07-06 18:36:13,4.0452577,2.9552932,2.7623092,0.21137075,3.535007,0.63346182,0.40778281,1.4280052,5.9671745,0.19274446,3.2760867,3.3251538,6.3671796e-08,4.1940665,1.9180983,1.2721602e-08,3.2647359e-09
79,2026-07-06 18:36:14,4.5573128,3.3221355,3.1196981,1.2053123,3.9385388,5.2150195,0.13445235,4.397737,0.50367934,0.19163041,4.4524756,2.556983,9.5111864e-08,6.0734861,1.464226,4.8728851e-08,1.3754575e-08
