OPTIMALIZATION LOG --- STAGE 1 --- 2026-01-16 19:55:56 
call_id 	 timestamp 	 error 	 error_heat 	 error_moist 	b1_org 	 b2_org 	 b3_org 	b1_min 	 b2_min 	 b3_min 	alpha_org 	 n_org 	 K_org 	alpha_min 	 n_min 	 K_min 
1	2026-01-16 20:23:15	3.0330644	0.83796851	2.9150109	0.07091008893131973	1.8661014119534642	0.36670410986380864	0.6925592352555735	5.486428393938016	0.5117999055497282	0.02600794715234328	1.8040475834375842	-5.917304895957703	0.43951760446369864	2.7283423901004293	-5.595914737917255
3	2026-01-16 20:23:17	3.4930491	1.2648549	3.2559997	0.9824332913500016	1.1098185087231665	0.7930669218897697	0.028235043627993395	3.2147406005201833	3.314887476063034	0.25568749098963883	1.6556658368825277	-5.4150976072337755	0.6523883264927502	2.865110046748982	-4.243767525861682
15	2026-01-16 20:23:18	2.8098286	0.81190682	2.689971	0.22441696752873025	1.5421439583037524	1.582193225881769	0.5201214594079078	5.555594323858605	3.3680582414243303	0.4710718563906588	1.3026433380032523	-4.586583236787386	0.029446237661069963	2.8145694914369632	-6.372622543213714
9	2026-01-16 20:23:18	2.0167265	1.5264045	1.3180574	0.3981245788598921	3.061237617289525	1.6860016213696953	0.373420543248807	2.553250360278863	0.9795150254068528	0.8191454217662439	2.682254537243882	-5.6312907619731085	0.6838965423641326	1.7228144523697986	-5.67897776234495
6	2026-01-16 20:23:20	1.4643096	0.94557312	1.1180761	0.16347704233691912	0.1420392409120259	3.4467521705083897	0.3582822813073986	2.7539607508845365	1.5525939851514035	0.2961246430412177	1.1997723759003813	-6.727501271986355	0.2705108615447921	1.4534382060565485	-4.402709628990293
7	2026-01-16 20:23:21	3.9382369	1.6726671	3.5653743	0.07654799368312781	2.371317191436123	2.043548821303626	0.21002368720327624	2.1711162264230657	3.9128394204409207	0.9267492007778901	1.8939345015515283	-6.582710275066603	0.42351877249281766	2.901064479803675	-3.5529777802600986
13	2026-01-16 20:23:21	1.8927523	1.4415372	1.2265732	0.8702826347732907	3.8579738460226287	0.02442630996555062	0.8542027078461999	3.828589578214054	1.2357697041701794	0.6188655254845387	2.9542881565494694	-6.738302229077067	0.3932022575293764	1.7124811828648203	-5.5403469535776475
10	2026-01-16 20:23:22	2.0586191	1.5003164	1.4095969	0.9618747313000382	1.0221036206446243	0.2776907475915591	0.0645219480058924	4.7063648771550355	2.4396356625615874	0.6857363171110469	2.485535342093003	-6.4154013446095455	0.8204535163151988	1.6057182601028548	-5.132162679072121
2	2026-01-16 20:23:22	3.2657596	1.3015734	2.9951782	0.738126154511128	5.112053833843143	0.48627638272421936	0.9807670488936655	0.5467291215818895	3.5244353099809835	0.26268977275493605	2.673571504126294	-5.235755533057851	0.6087698786451622	2.847704779817914	-4.440343903546572
5	2026-01-16 20:23:24	2.8312489	1.0648705	2.6233607	0.727626133639308	0.7410213982757172	0.32366945487323573	0.4262693896484311	1.6048370609262563	2.23436107679776	0.00699413796822379	2.029826504488015	-4.946588138944325	0.011000068736708113	2.8252222122216133	-5.183150427082756
