b1_org,b2_org,b3_org,b1_min,b2_min,b3_min,albedo,log10_alpha_org,n_org,log10_K_org,log10_alpha_min,n_min,log10_K_min,log10_S_max,error,error_heat,error_moist
2.0,2.6800000000000006,4.006666666666667,2.0,2.6800000000000006,0.02,0.13333333333333336,0.6666666666666666,3.166666666666667,-6.333333333333333,0.6666666666666666,1.6833333333333333,-3.0,-7.0,,,
2.0,2.6800000000000006,4.006666666666667,2.0,8.0,0.02,0.13333333333333336,0.6666666666666666,3.166666666666667,-6.333333333333333,0.6666666666666666,1.6833333333333333,-3.0,-7.0,,,
2.0,2.6800000000000006,4.006666666666667,2.0,8.0,0.02,0.13333333333333336,0.6666666666666666,3.166666666666667,-6.333333333333333,0.6666666666666666,1.6833333333333333,-6.333333333333333,-7.0,5.323846119875843,3.759989899946337,3.7690600234565927
2.0,2.6800000000000006,4.006666666666667,2.0,8.0,0.02,0.13333333333333336,0.6666666666666666,3.166666666666667,-3.0,0.6666666666666666,1.6833333333333333,-6.333333333333333,-7.0,4.849027005162823,3.6759343571283845,3.16236770456591
2.0,2.6800000000000006,4.006666666666667,0.68,8.0,0.02,0.13333333333333336,0.6666666666666666,3.166666666666667,-3.0,0.6666666666666666,1.6833333333333333,-6.333333333333333,-7.0,4.913705756298465,3.7574541830212986,3.166392635472805
2.0,2.6800000000000006,4.006666666666667,0.68,8.0,0.02,0.13333333333333336,0.6666666666666666,3.166666666666667,-3.0,0.0,1.6833333333333333,-6.333333333333333,-7.0,4.383010556930886,3.5685954939591964,2.5447804900740874
2.0,2.6800000000000006,4.006666666666667,0.68,8.0,0.02,0.13333333333333336,0.6666666666666666,5.0,-3.0,0.0,1.6833333333333333,-6.333333333333333,-7.0,4.001097166035414,3.406799917178167,2.09821182352294
0.68,2.6800000000000006,4.006666666666667,0.68,8.0,0.02,0.13333333333333336,0.6666666666666666,5.0,-3.0,0.0,1.6833333333333333,-6.333333333333333,-7.0,3.2444946729899033,2.480064631645126,2.091895099167926
0.68,8.0,4.006666666666667,0.68,8.0,0.02,0.13333333333333336,0.6666666666666666,5.0,-3.0,0.0,1.6833333333333333,-6.333333333333333,-7.0,3.2556694125668164,2.4945739630888384,2.0920047960275827
0.68,8.0,4.006666666666667,0.68,8.0,0.02,0.13333333333333336,0.6666666666666666,5.0,-3.0,0.0,1.6833333333333333,-6.333333333333333,-9.0,2.5272101456114893,1.9686970657729137,1.5846207695530072
0.68,8.0,0.02,0.68,8.0,0.02,0.13333333333333336,0.6666666666666666,5.0,-3.0,0.0,1.6833333333333333,-6.333333333333333,-9.0,2.4051585185797526,1.8097897523605335,1.5841239066902404
0.68,8.0,0.02,0.68,8.0,0.02,0.13333333333333336,0.0,5.0,-3.0,0.0,1.6833333333333333,-6.333333333333333,-9.0,2.6783987517924026,2.3941768665344636,1.2007235341052982
0.68,8.0,0.02,0.68,8.0,4.006666666666667,0.13333333333333336,0.0,5.0,-3.0,0.0,1.6833333333333333,-6.333333333333333,-9.0,2.635457624880562,2.344999561721509,1.202752654566609
0.68,8.0,0.02,0.68,8.0,4.006666666666667,0.13333333333333336,0.0,5.0,-3.0,0.0,1.05,-6.333333333333333,-9.0,,,
0.68,8.0,0.02,0.68,8.0,4.006666666666667,0.3,0.0,5.0,-3.0,0.0,1.05,-6.333333333333333,-9.0,,,
1.3399999999999999,0.02,6.0,2.0,2.6800000000000006,4.006666666666667,0.21666666666666667,1.0,3.166666666666667,-3.0,0.6666666666666666,1.6833333333333333,-6.333333333333333,-6.0,4.7992381934153,3.1506719607894156,3.6202145561598327
1.3399999999999999,0.02,6.0,2.0,2.6800000000000006,4.006666666666667,0.21666666666666667,1.0,3.166666666666667,-3.0,0.6666666666666666,1.6833333333333333,-3.0,-6.0,4.896757319635568,3.101171458407859,3.7895867628226942
