OPTIMALIZATION LOG --- STAGE 1 --- 2026-01-18 09:47:17 
call_id 	 timestamp 	 error 	 error_heat 	 error_moist 	b1_org[W/(m.K)] 	 b2_org[W/(m.K)] 	 b3_org[W/(m.K)] 	b1_min[W/(m.K)] 	 b2_min[W/(m.K)] 	 b3_min[W/(m.K)] 	alpha_org[1/m] 	 n_org[-] 	 K_org[m/s] 	alpha_min[1/m] 	 n_min[-] 	 K_min[m/s] 
11	2026-01-18 10:00:43	5.16875567	4.30251241	2.86433625	0.2872210197644782	1.9259794444036407	0.5906067382537601	0.47409374639981516	4.400201577659869	3.2622407290180466	0.4554989247406923	1.9658559274439433	-4.157094956383724	0.3744276489653224	2.5095690015554863	-3.9253823479980494
16	2026-01-18 10:00:43	7.30908781	6.78536130	2.71691678	0.9076063531563469	3.282341185238791	1.4343467640924545	0.04760326606032961	3.94331486102166	3.499224981301726	0.8812901271217125	1.8130532742363283	-5.856852145049638	0.2960964134191432	2.5609180177585493	-4.191266987186832
12	2026-01-18 10:00:43	5.90575028	5.32958403	2.54429172	0.7890507281874337	0.2601745366306423	2.9299777843559554	0.06947380257715724	3.5131520187706125	3.201646039567515	0.20495097516881955	1.9778459388795797	-5.817906234743405	0.878758631270169	1.867965905826976	-4.720859415300719
1	2026-01-18 10:00:44	5.17480537	5.04696902	1.14311607	0.042637163083734386	5.315147569362476	1.3622321149404293	0.18348247811935026	3.0232110490109902	0.7620079916609388	0.3718811510625001	2.790620069504981	-3.8938206760880614	0.5472154141361915	1.6936461373376794	-4.580006422313629
5	2026-01-18 10:00:45	6.02708444	4.98328515	3.39007611	0.09933358596281244	2.319565877275664	2.673382083994462	0.11499309707780742	0.6403141545969961	1.4735635319845433	0.5956028157401915	1.7455891476216054	-4.754446339969165	0.9505654923917642	2.8317431845726704	-6.979141235453824
6	2026-01-18 10:00:45	5.86539153	5.48839526	2.06889713	0.23596966407391018	5.008906206086548	2.0864749107403293	0.4356235691096597	5.728154912967051	1.886372674648629	0.4845102242299883	2.64709817792915	-6.132665968486219	0.6358601432317728	2.0033392811652213	-6.15720060751336
2	2026-01-18 10:00:46	4.28083485	3.83705743	1.89803510	0.9685428062295331	1.3480327855471128	3.9267516609795736	0.7363306540872461	2.7806335069848105	1.4635398332405394	0.44457206627504703	1.1920742159784552	-4.913227103567741	0.8881521487331967	1.4351741815865604	-3.863241191854838
8	2026-01-18 10:00:46	3.53227589	2.78117399	2.17762353	0.29618210138801737	2.7247725728629195	1.4566349575701856	0.22199209734087144	2.095604949695188	1.023659668815833	0.17532376144068051	1.2666295890880002	-5.433108855864022	0.9471148739117673	1.123764036531279	-5.616323235792785
13	2026-01-18 10:00:46	5.01301370	4.06709633	2.93070535	0.7513780666509855	1.676095665994967	2.415367095109532	0.5736573816852693	0.37117832917749594	2.9701794953934018	0.03981172763442686	1.4317980938937183	-5.293161848066319	0.3342488975537165	2.382282388463038	-4.932089624647648
7	2026-01-18 10:00:47	4.53096798	3.97926327	2.16682594	0.1448141553285126	0.0489359709849011	3.4175783967570315	0.7239399084910481	1.925148792990908	3.160685742118452	0.2189798019037027	1.2581675312400726	-6.385047286476467	0.9638084980938312	1.5466585098514118	-3.678784503705438
15	2026-01-18 10:00:47	4.39457031	4.17791996	1.36280336	0.22714328645334997	2.429217321415465	2.997631159845563	0.06354340683506038	2.445522237997185	2.375324007133339	0.15336189165946823	1.9169030159397762	-4.949928989326804	0.6585214427143014	1.4632995579127872	-6.009545111728101
3	2026-01-18 10:00:47	5.66601741	5.57681993	1.00141540	0.6401470051178841	4.563680351865994	0.31366690621009385	0.12918105375568545	2.8935189188060395	1.8447434130141265	0.34600930657566725	1.4922598980914217	-6.676304602084726	0.24417105202212297	1.5499280736204077	-3.896119210989777
14	2026-01-18 10:00:48	6.22923779	5.24258156	3.36433382	0.3400464796208492	1.6374799513724347	3.5732466071013267	0.28126371161823394	4.62908842161362	0.4909805771496678	0.10961814202969444	2.6568496218362596	-3.831462224059453	0.6629247651402055	2.8834451713642606	-3.64586685051336
10	2026-01-18 10:00:49	4.53336575	4.28176962	1.48924610	0.5186752702617663	2.5810312483082587	3.7518384700075114	0.637003372429315	3.690752964417026	3.5648102473303975	0.5282956155044539	1.1720785757186336	-6.8870067291220725	0.807994726901471	1.2950888114509511	-4.468368429854355
4	2026-01-18 10:00:50	5.95835808	5.48093908	2.33695054	0.11594822588559256	5.531736841136951	2.5366030088517553	0.40219073283080176	1.5327480133198816	2.408627507017718	0.4714804098178891	2.7361266188207063	-5.057126566282546	0.202924903785832	2.3555941538286507	-4.212075898489223
9	2026-01-18 10:00:52	3.84601122	3.56103981	1.45285846	0.4237011632408434	0.8191704800620307	0.2607079602229265	0.728965343935084	4.273150834524752	3.5122698944130746	0.41371118741811214	2.7120383608951886	-5.15703702810714	0.2804449818684673	2.0078353167274225	-6.547411903243702
19	2026-01-18 10:14:09	5.72311506	5.66566085	0.80890857	0.9824273084627939	4.601686099628248	1.7583731494986081	0.35137286316318417	5.252285100424389	2.298068039592518	0.33420780926455984	2.5072485660173065	-5.3172088941403315	0.10896888687144568	1.609056236444402	-5.743657135530565
18	2026-01-18 10:14:10	5.56010852	4.84880727	2.72100622	0.9446412889791731	4.724639702861346	1.978515958234084	0.9823833850133785	0.24237618398261018	2.542261508263626	0.0827433604479233	2.413092288430019	-4.348428371870265	0.8577442035819042	1.8838234036383303	-4.36104879196217
26	2026-01-18 10:14:12	3.76362122	2.98210605	2.29605928	0.4212611805225955	3.123327326386288	2.5815315312609233	0.0877411116113031	1.8686444522758767	2.869067882445603	0.5590527467626528	1.3381295396976212	-4.208276868987206	0.02999801895274007	1.2436183523974829	-6.4489274471933875
23	2026-01-18 10:14:15	5.42419490	5.03030897	2.02925652	0.4910548464626027	5.3873436889600494	3.2362634707125446	0.5988441370814748	4.480362872022203	2.591030305329545	0.09444619266340498	1.4853438481763779	-6.468644259603487	0.6409127325207039	1.5715458080237785	-6.857438896696336
20	2026-01-18 10:14:15	3.29868425	3.24735202	0.57967458	0.16014473761380948	5.5844959810221875	0.9701500647229939	0.6219923833888912	4.4483740082773355	2.9328408785729287	0.027517205039649772	2.522370256620386	-4.1283420863042295	0.7605492617598388	1.3527165362142028	-4.43184081406026
25	2026-01-18 10:14:15	4.28763208	4.23523250	0.66827729	0.4772603131753747	2.928237247685363	0.2382412554379454	0.8712534245404042	5.605741748781599	1.5312146273889085	0.6026330155874392	2.2062312733081035	-4.261663443248969	0.2670391172943112	1.758465340536615	-5.695914187868423
29	2026-01-18 10:14:15	6.50035379	6.00153506	2.49723374	0.45615638047398066	3.5992162236626437	2.1688236744269114	0.362702974884015	2.1897772992252795	1.8682476026649197	0.6273960853860816	1.3893648037165862	-6.253847433502654	0.22342060852158763	2.9068587709185296	-5.2237142426525
22	2026-01-18 10:14:15	7.43600958	6.46994739	3.66524478	0.5290728901475522	3.3475202749367052	0.7793326616915657	0.8990354909908517	5.718600113388254	2.7299082751297172	0.86772694394169	2.1148365992599087	-6.916400742109666	0.8708006108494861	2.7000746669500875	-5.826357867980658
28	2026-01-18 10:14:16	4.21615811	3.89217307	1.62079547	0.48620143677558436	5.081436514882112	0.19459379198465787	0.3778792428859662	2.7500739482303937	3.714864295631737	0.5825477826080521	1.2842417417086287	-5.882455018580999	0.24957851004091025	1.853660177035177	-6.595166233565186
27	2026-01-18 10:14:16	4.69242716	4.01928307	2.42161853	0.285247505043166	2.995255172575488	0.48853422639453226	0.8435252773856441	4.690010678318467	0.5065008039913028	0.13961849845366475	2.0561947302553634	-5.465645083752545	0.3222580101603005	2.3355023109005377	-6.190959118991359
24	2026-01-18 10:14:18	7.00379206	6.81650765	1.60882772	0.8310057843463857	2.3932165525235822	3.156853953789774	0.23639867784706908	2.600855026334261	0.19855266869626842	0.4037742907318073	1.7147672284937192	-6.4806356049458085	0.1957466893782347	2.0888433981479775	-5.339695181730662
30	2026-01-18 10:14:19	5.94636711	5.32055724	2.65536295	0.922106157511708	2.7879223425992716	0.6135391247560749	0.42017199556332546	2.97298029772781	3.824488908494284	0.5691836043917371	2.3504962387700807	-5.666638347705174	0.8625270222811348	2.0419128671059816	-6.106914653463088
21	2026-01-18 10:14:19	7.36013846	7.28142388	1.07354759	0.9977478225532758	5.166259153610742	2.4561961698412875	0.1350921548452692	0.13542948962922274	0.06911622371229464	0.7274640641370997	2.174770959693422	-5.584838605781537	0.5940864186170858	1.31770286960686	-4.801371112362412
31	2026-01-18 10:14:19	6.10085572	5.59365823	2.43545233	0.7733914523135441	2.9517025308808713	2.0399416152780354	0.4958156060398574	1.5020743008342963	0.9420151283391458	0.09977249982877678	1.8394761969433147	-5.950546396198216	0.1622120549154571	2.6303329766804047	-5.32528419456586
32	2026-01-18 10:14:23	3.71582956	2.99264240	2.20260773	0.4711166772411347	1.384992252278688	1.0160315867252443	0.5480183978246149	3.2048986659490457	0.05114741268430967	0.8920838883542554	1.1670541265715442	-3.6302792146742684	0.08843153774752854	1.8215048323189436	-5.527293741501658
17	2026-01-18 10:14:24	5.80138816	5.70731329	1.04051894	0.5212235416698184	5.120435155998378	0.8807147370631974	0.20873671519431697	0.4071324746746581	3.945425048247203	0.6173329533896226	2.263232309571034	-6.407369607603281	0.6832461369365145	1.529780711802565	-4.968221541663572
33	2026-01-18 10:27:44	6.48139891	5.49977629	3.42943034	0.25296288820837504	4.337876163380502	1.624218067161442	0.7644004778262301	5.526502883490499	2.3337839029744516	0.05784265018786411	1.4744925905290551	-6.832258853083069	0.9809188447610986	2.550385294592113	-6.038490059761196
