# campaign: 2024-09-08 00:00:00+00:00 2024-09-30 00:00:00+00:00
# time[s] T_15cm[˚C]
0.0 17.604166666666668
600.0 17.51388888888889
1200.0 17.42361111111111
1800.0 17.333333333333332
2400.0 17.15972222222222
3000.0 16.98611111111111
3600.0 16.8125
4200.0 16.756944444444443
4800.0 16.70138888888889
5400.0 16.645833333333332
6000.0 16.52777777777778
6600.0 16.40972222222222
7200.0 16.291666666666668
7800.0 16.15972222222222
8400.0 16.02777777777778
9000.0 15.895833333333334
9600.0 15.854166666666668
10200.0 15.8125
10800.0 15.770833333333334
11400.0 15.694444444444445
12000.0 15.618055555555555
12600.0 15.541666666666666
13200.0 15.416666666666666
13800.0 15.291666666666666
14400.0 15.166666666666666
15000.0 15.020833333333332
15600.0 14.875
16200.0 14.729166666666666
16800.0 14.659722222222221
17400.0 14.590277777777779
18000.0 14.520833333333334
18600.0 14.520833333333334
19200.0 14.520833333333334
19800.0 14.520833333333334
20400.0 14.73611111111111
21000.0 14.95138888888889
21600.0 15.166666666666666
22200.0 15.5
22800.0 15.833333333333334
23400.0 16.166666666666668
24000.0 16.5
24600.0 16.833333333333336
25200.0 17.166666666666668
25800.0 17.72222222222222
26400.0 18.27777777777778
27000.0 18.833333333333332
27600.0 19.15277777777778
28200.0 19.47222222222222
28800.0 19.791666666666668
29400.0 20.17361111111111
30000.0 20.555555555555557
30600.0 20.9375
31200.0 21.180555555555557
31800.0 21.42361111111111
32400.0 21.666666666666668
33000.0 21.854166666666668
33600.0 22.041666666666668
34200.0 22.229166666666668
34800.0 22.67361111111111
35400.0 23.118055555555557
36000.0 23.5625
36600.0 23.95138888888889
37200.0 24.34027777777778
37800.0 24.729166666666668
38400.0 25.069444444444446
39000.0 25.40972222222222
39600.0 25.75
40200.0 25.90277777777778
40800.0 26.055555555555554
41400.0 26.208333333333332
42000.0 26.381944444444443
42600.0 26.555555555555557
43200.0 26.729166666666668
43800.0 26.833333333333336
44400.0 26.9375
45000.0 27.041666666666668
45600.0 27.208333333333336
46200.0 27.375
46800.0 27.541666666666668
47400.0 27.61111111111111
48000.0 27.680555555555557
48600.0 27.75
49200.0 27.51388888888889
49800.0 27.27777777777778
50400.0 27.041666666666668
51000.0 26.930555555555557
51600.0 26.819444444444443
52200.0 26.708333333333332
52800.0 26.57638888888889
53400.0 26.444444444444443
54000.0 26.3125
54600.0 26.166666666666668
55200.0 26.020833333333332
55800.0 25.875
56400.0 25.78472222222222
57000.0 25.694444444444446
57600.0 25.604166666666668
58200.0 25.40277777777778
58800.0 25.20138888888889
59400.0 25.0
60000.0 24.708333333333332
60600.0 24.416666666666668
61200.0 24.125
61800.0 23.84027777777778
62400.0 23.555555555555554
63000.0 23.270833333333332
63600.0 23.01388888888889
64200.0 22.756944444444443
64800.0 22.5
65400.0 22.52777777777778
66000.0 22.555555555555554
66600.0 22.583333333333332
67200.0 22.583333333333332
67800.0 22.583333333333332
68400.0 22.583333333333332
69000.0 22.5625
69600.0 22.541666666666664
70200.0 22.520833333333332
70800.0 22.48611111111111
71400.0 22.45138888888889
72000.0 22.416666666666668
72600.0 22.3125
73200.0 22.208333333333336
73800.0 22.104166666666668
74400.0 22.006944444444446
75000.0 21.90972222222222
75600.0 21.8125
