# OPTIMALIZATION LOG --- STAGE 1 SPRUCE --- 2026-03-18 15:42:27 
call_id,timestamp,error,error_heat,error_moist,b1_org[W/(m.K)],b2_org[W/(m.K)],b3_org[W/(m.K)],b1_min[W/(m.K)],b2_min[W/(m.K)],b3_min[W/(m.K)],albedo[-],alpha_org[1/m],n_org[-],K_org[m/s],alpha_min[1/m],n_min[-],K_min[m/s],S_max[m/s]
609,2026-03-18 22:15:01,3.0976444,2.8531454,1.206218,0.4129401,7.4425576,2.1943401,1.3248467,4.2335796,4.9480938,0.078901608,6.4662213,1.8909365,1.4043644e-05,1.9385062,2.8750303,6.5216511e-07,7.7568097e-09
762,2026-03-19 00:01:09,2.7924335,2.4544472,1.3316808,0.82671889,0.086082389,0.34755453,1.4368516,6.999267,0.818687,0.068736238,8.4844063,1.9690601,1.3152207e-05,3.8445133,2.3251492,7.2695368e-07,2.9541294e-09
1037,2026-03-19 02:59:47,3.590473,1.2107513,3.3801742,0.029913579,6.4152019,0.94880452,0.22083929,0.51442833,0.51171692,0.26452425,2.6623765,1.9550403,7.8864161e-07,2.3778876,2.3279413,0.00053363505,5.3359329e-07
