# campaign: 2024-09-08 00:00:00+00:00 2024-09-30 00:00:00+00:00
# time[s] T_n8cm[˚C] T_n15cm[˚C] T_n23cm[˚C] theta_n8cm[-] theta_n23cm[-]
0.0 17.631944444444443 17.631944444444443 17.36111111111111 0.11572998982050042 0.09937614312983539
600.0 17.587962962962962 17.587962962962962 17.33564814814815 0.11567815169248709 0.09937614312983539
1200.0 17.54398148148148 17.54398148148148 17.310185185185183 0.11562631356447375 0.09937614312983539
1800.0 17.5 17.5 17.28472222222222 0.11557447543646042 0.09937614312983539
2400.0 17.41898148148148 17.41898148148148 17.238425925925924 0.11554855637245376 0.09937614312983539
3000.0 17.337962962962962 17.337962962962962 17.19212962962963 0.11552263730844711 0.09937614312983539
3600.0 17.256944444444443 17.256944444444443 17.145833333333332 0.11549671824444045 0.09937614312983539
4200.0 17.219907407407405 17.219907407407405 17.122685185185183 0.11544488011642712 0.09935108304538318
4800.0 17.18287037037037 17.18287037037037 17.099537037037038 0.11539304198841377 0.09932602296093095
5400.0 17.145833333333332 17.145833333333332 17.07638888888889 0.11534120386040043 0.09930096287647873
6000.0 17.083333333333332 17.083333333333332 17.03240740740741 0.11534120386040043 0.09930096287647873
6600.0 17.020833333333332 17.020833333333332 16.988425925925924 0.11534120386040043 0.09930096287647873
7200.0 16.958333333333332 16.958333333333332 16.944444444444443 0.11534120386040043 0.09930096287647873
7800.0 16.886574074074073 16.886574074074073 16.89814814814815 0.1152893657323871 0.09930096287647873
8400.0 16.814814814814817 16.814814814814817 16.85185185185185 0.11523752760437377 0.09930096287647873
9000.0 16.743055555555557 16.743055555555557 16.805555555555557 0.11518568947636043 0.09930096287647873
9600.0 16.717592592592595 16.717592592592595 16.800925925925927 0.11515977041235376 0.09930096287647873
10200.0 16.69212962962963 16.69212962962963 16.796296296296298 0.1151338513483471 0.09930096287647873
10800.0 16.666666666666668 16.666666666666668 16.791666666666668 0.11510793228434042 0.09930096287647873
11400.0 16.613425925925927 16.613425925925927 16.75 0.11510793228434042 0.09930096287647873
12000.0 16.560185185185183 16.560185185185183 16.708333333333336 0.11510793228434042 0.09930096287647873
12600.0 16.506944444444443 16.506944444444443 16.666666666666668 0.11510793228434042 0.09930096287647873
13200.0 16.42361111111111 16.42361111111111 16.60648148148148 0.11508201322033376 0.0992759027920265
13800.0 16.340277777777775 16.340277777777775 16.546296296296298 0.11505609415632709 0.09925084270757428
14400.0 16.256944444444443 16.256944444444443 16.48611111111111 0.11503017509232043 0.09922578262312205
15000.0 16.18287037037037 16.18287037037037 16.42824074074074 0.11497833696430709 0.09922578262312205
15600.0 16.108796296296294 16.108796296296294 16.37037037037037 0.11492649883629377 0.09922578262312205
16200.0 16.03472222222222 16.03472222222222 16.3125 0.11487466070828044 0.09922578262312205
16800.0 15.98611111111111 15.98611111111111 16.28935185185185 0.11484874164427378 0.09922578262312205
17400.0 15.9375 15.9375 16.266203703703706 0.1148228225802671 0.09922578262312205
18000.0 15.88888888888889 15.88888888888889 16.243055555555557 0.11479690351626044 0.09922578262312205
18600.0 15.881944444444445 15.881944444444445 16.24537037037037 0.11477098445225378 0.09917566245421762
19200.0 15.875 15.875 16.247685185185187 0.11474506538824711 0.09912554228531317
19800.0 15.868055555555555 15.868055555555555 16.25 0.11471914632424045 0.09907542211640874
20400.0 15.95138888888889 15.95138888888889 16.324074074074073 0.11471914632424045 0.09907542211640874
21000.0 16.03472222222222 16.03472222222222 16.39814814814815 0.11471914632424045 0.09907542211640874
21600.0 16.118055555555557 16.118055555555557 16.47222222222222 0.11471914632424045 0.09907542211640874
22200.0 16.300925925925927 16.300925925925927 16.59722222222222 0.11474506538824711 0.09907542211640874
22800.0 16.483796296296298 16.483796296296298 16.72222222222222 0.11477098445225378 0.09907542211640874
23400.0 16.666666666666668 16.666666666666668 16.84722222222222 0.11479690351626044 0.09907542211640874
24000.0 16.819444444444446 16.819444444444446 16.949074074074073 0.11484874164427378 0.09907542211640874
24600.0 16.97222222222222 16.97222222222222 17.050925925925927 0.1149005797722871 0.09907542211640874
25200.0 17.125 17.125 17.15277777777778 0.11495241790030043 0.09907542211640874
25800.0 17.35185185185185 17.35185185185185 17.30324074074074 0.11500425602831377 0.09907542211640874
26400.0 17.578703703703706 17.578703703703706 17.453703703703706 0.11505609415632709 0.09907542211640874
27000.0 17.805555555555557 17.805555555555557 17.604166666666668 0.11510793228434042 0.09907542211640874
27600.0 18.002314814814817 18.002314814814817 17.72685185185185 0.11515977041235376 0.09907542211640874
28200.0 18.199074074074073 18.199074074074073 17.849537037037038 0.1152116085403671 0.09907542211640874
28800.0 18.395833333333332 18.395833333333332 17.97222222222222 0.11526344666838044 0.09907542211640874
29400.0 18.60648148148148 18.60648148148148 18.11111111111111 0.11531528479639377 0.0990253019475043
30000.0 18.81712962962963 18.81712962962963 18.25 0.11536712292440711 0.09897518177859983
30600.0 19.02777777777778 19.02777777777778 18.38888888888889 0.11541896105242044 0.09892506160969539
31200.0 19.199074074074076 19.199074074074076 18.488425925925927 0.11549671824444044 0.09890000152524317
31800.0 19.37037037037037 19.37037037037037 18.587962962962962 0.11557447543646042 0.09887494144079094
32400.0 19.541666666666668 19.541666666666668 18.6875 0.11565223262848041 0.09884988135633872
33000.0 19.71064814814815 19.71064814814815 18.805555555555557 0.11570407075649373 0.09884988135633872
33600.0 19.87962962962963 19.87962962962963 18.92361111111111 0.11575590888450707 0.09884988135633872
34200.0 20.04861111111111 20.04861111111111 19.041666666666668 0.11580774701252039 0.09884988135633872
